"Sample_ID","Mean(Flower Anthocyanin (1-5) 1 1)","Mean(Flower Anthocyanin (1-5) 1 2)","Mean(Flower Anthocyanin (1-5) 2 1)","Mean(Flower Anthocyanin (1-5) 2 2)","Mean(Corolla width 1 1)","Mean(Corolla width 1 2)","Mean(Corolla width 2 1)","Mean(Corolla width 2 2)","Mean(Tube length 1 1)","Mean(Tube length 1 2)","Mean(Tube length 2 1)","Mean(Tube length 2 2)","Mean(Peduncle length 1 1)","Mean(Peduncle length 1 2)","Mean(Peduncle length 2 1)","Mean(Peduncle length 2 2)","Mean(Node of flower 1 1)","Mean(Node of flower 1 2)","Mean(Node of flower 2 1)","Mean(Node of flower 2 2)","Mean(Days to flower 1 1)","Mean(Days to flower 1 2)","Mean(Days to flower 2 1)","Mean(Days to flower 2 2)","Mean(Petiole 1 1)","Mean(Petiole 1 2)","Mean(Petiole 2 1)","Mean(Petiole 2 2)","Mean(Leaf length 1 1)","Mean(Leaf length 1 2)","Mean(Leaf length 2 1)","Mean(Leaf length 2 2)","Mean(Whole-Petiole 1 1)","Mean(Whole-Petiole 1 2)","Mean(Whole-Petiole 2 1)","Mean(Whole-Petiole 2 2)","Mean(Leaf width 1 1)","Mean(Leaf width 1 2)","Mean(Leaf width 2 1)","Mean(Leaf width 2 2)","Mean(height on day of flowering 1 1)","Mean(height on day of flowering 1 2)","Mean(height on day of flowering 2 1)","Mean(height on day of flowering 2 2)","Mean(Top G trichomes 1 1)","Mean(Top G trichomes 1 2)","Mean(Top G trichomes 2 1)","Mean(Top G trichomes 2 2)","Mean(Top NG trichomes 1 1)","Mean(Top NG trichomes 1 2)","Mean(Top NG trichomes 2 1)","Mean(Top NG trichomes 2 2)","Mean(Bottom G trichomes 1 1)","Mean(Bottom G trichomes 1 2)","Mean(Bottom G trichomes 2 1)","Mean(Bottom G trichomes 2 2)","Mean(Bottom NG trichomes 1 1)","Mean(Bottom NG trichomes 1 2)","Mean(Bottom NG trichomes 2 1)","Mean(Bottom NG trichomes 2 2)","Antho_Cold","Antho_Hot","Antho_Plastic","Antho_Cold_Trans","Antho_Hot_Trans","Antho_Trans","CW_Cold","CW_Hot","CW_Plastic","CW_Cold_Trans","CW_Hot_Trans","CW_Trans","TubeLength_Cold","TubeLength_Hot","TubeLength_Plastic","TubeLength_Cold_Trans","TubeLength_Hot_Trans","TubeLength_Trans","Peduncle_Cold","Peduncle_Hot","Peduncle_Plastic","Peduncle_Cold_Trans","Peduncle_Hot_Trans","Peduncle_Trans","NodeFlower_Cold","NodeFlower_Hot","NodeFlower_Plastic","NodeFlower_Cold_Trans","NodeFlower_Hot_Trans","NodeFlower_Trans","DaysFlower_Cold","DaysFlower_Hot","DaysFlower_Plastic","DaysFlower_Cold_Trans","DaysFlower_Hot_Trans","DaysFlower_Trans","Petiole_Cold","Petiole_Hot","Petiole_Plastic","Petiole_Cold_Trans","Petiole_Hot_Trans","Petiole_Trans","LeafLength_Cold","LeafLength_Hot","LeafLength_Plastic","LeafLength_Cold_Trans","LeafLength_Hot_Trans","LeafLength_Trans","LeafWidth_Cold","LeafWidth_Hot","LeafWidth_Plastic","LeafWidth_Cold_Trans","LeafWidth_Hot_Trans","LeafWidth_Trans","HeightFlower_Cold","HeightFlower_Hot","HeightFlower_Plastic","HeightFlower_Cold_Trans","HeightFlower_Hot_Trans","HeightFlower_Trans","TopGlandular_Cold","TopGlandular_Hot","TopGlandular_Plastic","TopGlandular_Cold_Trans","TopGlandular_Hot_Trans","TopGlandular_Trans","TopNonGlandular_Cold","TopNonGlandular_Hot","TopNonGlandular_Plastic","TopNonGlandular_Cold_Trans","TopNonGlandular_Hot_Trans","TopNonGlandular_Trans","BottomGlandular_Cold","BottomGlandular_Hot","BottomGlandular_Plastic","BottomGlandular_Cold_Trans","BottomGlandular_Hot_Trans","BottomGlandular_Trans","BottomNonGlandular_Cold","BottomNonGlandular_Hot","BottomNonGlandular_Plastic","BottomNonGlandular_Cold_Trans","BottomNonGlandular_Hot_Trans","BottomNonGlandular_Trans","Cold_Prin1","Cold_Prin2","Hot_Prin1","Hot_Prin2","Plasticity_Prin1","Plasticity_Prin2","TGen_Prin1","Tgen_Prin2"
"AL-1-2",2,NA,1,1,34,NA,20,28,32,NA,26,32,110,NA,73,67,3,NA,3,2,39,NA,41,27,58,NA,51,52,195,NA,168,160,137,NA,117,108,65,NA,78,60,429,NA,142,172,40,NA,2,0,89,NA,153,76,0,NA,0,0,189,NA,180,46,1.5,1,-0.5,-1,NA,-1,27,28,1,-14,NA,-14,29,32,3,-6,NA,-6,91.5,67,-24.5,-37,NA,-37,3,2,-1,0,NA,0,40,27,-13,2,NA,2,54.5,52,-2.5,-7,NA,-7,127,108,-19,-20,NA,-20,71.5,60,-11.5,13,NA,13,285.5,172,-113.5,-287,NA,-287,21,0,-21,-38,NA,-38,121,76,-45,64,NA,64,0,0,0,0,NA,0,184.5,46,-138.5,-9,NA,-9,-0.146901609,-1.807240454,-1.793965628,0.7129808428,-0.297605,-0.454105995,-1.107443325,-2.17952061
"AL-1-9",NA,NA,3,NA,NA,NA,38,NA,NA,NA,39,NA,NA,NA,63,NA,NA,NA,3,NA,NA,NA,47,NA,NA,NA,27,NA,NA,NA,131,NA,NA,NA,104,NA,NA,NA,73,NA,NA,NA,226,NA,NA,NA,1,NA,NA,NA,70,NA,NA,NA,0,NA,NA,NA,154,NA,3,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,226,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,-1.276957783,-0.316532643,NA,NA,NA,NA,NA,NA
"AL-4-6",NA,1,3,2,NA,34,25,23,NA,38,31,30,NA,84,100,75,NA,3,2,3,NA,31,47,30,NA,79,43,105,NA,201,154,245,0,122,111,140,NA,44,61,44,NA,372,175,480,NA,5,4,8,NA,27,122,31,NA,2,4,4,NA,44,115,21,3,1.5,-1.5,NA,1,1,25,28.5,3.5,NA,-11,-11,31,34,3,NA,-8,-8,100,79.5,-20.5,NA,-9,-9,2,3,1,NA,0,0,47,30.5,-16.5,NA,-1,-1,43,92,49,NA,26,26,55.5,131,75.5,111,18,64.5,61,44,-17,NA,0,0,175,426,251,NA,108,108,4,6.5,2.5,NA,3,3,122,29,-93,NA,4,4,4,3,-1,NA,2,2,115,32.5,-82.5,NA,-23,-23,-1.367640024,-1.540939315,-0.081403617,1.1866273276,1.925060387,0.5159187809,-0.621418923,1.3133097245
"AL-4-10",NA,4,5,3,NA,55,65,55,NA,57,30,53,NA,62,72,70,NA,5,4,3,NA,34,53,31,NA,20,42,51,NA,173,140,182,NA,153,98,131,NA,61,60,59,NA,690,NA,368,NA,2,3,4,NA,74,87,17,NA,4,1,0,NA,173,379,7,5,3.5,-1.5,NA,-1,-1,65,55,-10,NA,0,0,30,55,25,NA,-4,-4,72,66,-6,NA,8,8,4,4,0,NA,-2,-2,53,32.5,-20.5,NA,-3,-3,42,35.5,-6.5,NA,31,31,98,142,44,NA,-22,-22,60,60,0,NA,-2,-2,NA,529,NA,NA,-322,-322,3,3,0,NA,2,2,87,45.5,-41.5,NA,-57,-57,1,2,1,NA,-4,-4,379,90,-289,NA,-166,-166,NA,NA,3.8172649526,0.401996016,NA,NA,-2.004919628,-0.99778018
"AL-5-4",4,NA,4,NA,46,NA,44,NA,46,NA,43,NA,177,NA,148,NA,2,NA,2,NA,47,NA,48,NA,98,NA,104,NA,253,NA,223,NA,155,NA,119,NA,123,NA,104,NA,388,NA,289,NA,8,NA,10,NA,297,NA,228,NA,0,NA,0,NA,241,NA,259,NA,4,NA,NA,0,NA,0,45,NA,NA,-2,NA,-2,44.5,NA,NA,-3,NA,-3,162.5,NA,NA,-29,NA,-29,2,NA,NA,0,NA,0,47.5,NA,NA,1,NA,1,101,NA,NA,6,NA,6,137,NA,NA,-36,NA,-36,113.5,NA,NA,-19,NA,-19,338.5,NA,NA,-99,NA,-99,9,NA,NA,2,NA,2,262.5,NA,NA,-69,NA,-69,0,NA,NA,0,NA,0,250,NA,NA,18,NA,18,3.9832598666,-1.60358634,NA,NA,NA,NA,0.4745478097,-1.748566757
"AL-5-9",NA,1,5,0,NA,29,43,14,NA,30,35,15,NA,99,155,93,NA,2,1,2,NA,28,49,34,NA,46,32,50,NA,230,210,172,0,184,178,122,NA,83,133,58,NA,386,90,444,NA,29,NA,28,NA,66,NA,115,NA,1,NA,1,NA,127,NA,88,5,0.5,-4.5,NA,-1,-1,43,21.5,-21.5,NA,-15,-15,35,22.5,-12.5,NA,-15,-15,155,96,-59,NA,-6,-6,1,2,1,NA,0,0,49,31,-18,NA,6,6,32,48,16,NA,4,4,89,153,64,178,-62,58,133,70.5,-62.5,NA,-25,-25,90,415,325,NA,58,58,NA,28.5,NA,NA,-1,-1,NA,90.5,NA,NA,49,49,NA,1,NA,NA,0,0,NA,107.5,NA,NA,-39,-39,NA,NA,-1.66660529,2.0185639824,NA,NA,-0.592930078,-0.824401226
"AL-8-1",4,NA,4,NA,37,NA,34,24,25,NA,33,18,70,NA,70,68,4,NA,3,3,48,NA,47,34,53,NA,39,66,178,NA,151,160,125,NA,112,94,80,NA,60,47,660,NA,506,533,7,NA,4,18,230,NA,158,82,1,NA,4,5,10,NA,3,0,4,NA,NA,0,NA,0,35.5,24,-11.5,-3,NA,-3,29,18,-11,8,NA,8,70,68,-2,0,NA,0,3.5,3,-0.5,-1,NA,-1,47.5,34,-13.5,-1,NA,-1,46,66,20,-14,NA,-14,118.5,94,-24.5,-13,NA,-13,70,47,-23,-20,NA,-20,583,533,-50,-154,NA,-154,5.5,18,12.5,-3,NA,-3,194,82,-112,-72,NA,-72,2.5,5,2.5,3,NA,3,6.5,0,-6.5,-7,NA,-7,-0.033012164,0.1893591653,NA,NA,NA,NA,-0.379352585,-1.545829744
"AL-8-5",4,NA,4,3,37,NA,31,44,41,NA,20,37,93,NA,135,83,3,NA,3,3,47,NA,46,31,30,NA,20,48,95,NA,122,127,65,0,102,79,50,NA,55,46,282,NA,340,433,13,9,31,7,105,99,162,79,3,1,14,4,22,3,4,18,4,3,-1,0,NA,0,34,44,10,-6,NA,-6,30.5,37,6.5,-21,NA,-21,114,83,-31,42,NA,42,3,3,0,0,NA,0,46.5,31,-15.5,-1,NA,-1,25,48,23,-10,NA,-10,83.5,39.5,-44,37,79,58,52.5,46,-6.5,5,NA,5,311,433,122,58,NA,58,22,8,-14,18,-2,8,133.5,89,-44.5,57,-20,18.5,8.5,2.5,-6,11,3,7,13,10.5,-2.5,-18,15,-1.5,-1.125049908,-0.073674709,0.8178848956,-0.794555862,0.8544270838,0.2352202377,-1.09977904,0.6036393408
"AL-9-4",0,NA,1,1,31,NA,29,22,46,NA,40,33,135,NA,130,186,3,NA,3,3,51,NA,50,31,85,NA,130,72,273,NA,305,230,188,0,175,158,155,NA,87,81,472,NA,390,753,15,NA,11,39,344,NA,117,108,5,NA,5,16,27,NA,4,0,0.5,1,0.5,1,NA,1,30,22,-8,-2,NA,-2,43,33,-10,-6,NA,-6,132.5,186,53.5,-5,NA,-5,3,3,0,0,NA,0,50.5,31,-19.5,-1,NA,-1,107.5,72,-35.5,45,NA,45,181.5,79,-102.5,-13,158,72.5,121,81,-40,-68,NA,-68,431,753,322,-82,NA,-82,13,39,26,-4,NA,-4,230.5,108,-122.5,-227,NA,-227,5,16,11,0,NA,0,15.5,0,-15.5,-23,NA,-23,3.5524826265,-1.205814654,0.5275070221,3.0347298551,-1.150369614,1.1844734628,0.2426342249,-0.802316782
"AL-9-9",2,NA,4,2,26,NA,35,39,34,NA,35,37,113,NA,30,116,3,NA,3,4,48,NA,49,34,23,NA,25,33,132,NA,167,100,109,NA,142,67,48,NA,55,37,445,NA,490,610,17,NA,18,15,105,NA,75,43,19,NA,32,12,202,NA,246,35,3,2,-1,2,NA,2,30.5,39,8.5,9,NA,9,34.5,37,2.5,1,NA,1,71.5,116,44.5,-83,NA,-83,3,4,1,0,NA,0,48.5,34,-14.5,1,NA,1,24,33,9,2,NA,2,125.5,67,-58.5,33,NA,33,51.5,37,-14.5,7,NA,7,467.5,610,142.5,45,NA,45,17.5,15,-2.5,1,NA,1,90,43,-47,-30,NA,-30,25.5,12,-13.5,13,NA,13,224,35,-189,44,NA,44,-0.739556588,0.9758951006,1.4040021148,-1.014363409,0.5973305033,0.6586430592,1.6184862463,0.813443113
