chr,pos,marker
1,0.006511,h2tg000001l_6511
1,0.015005278,h2tg000001l_15006
1,0.688008674,h2tg000001l_44536
1,0.689106133,h2tg000001l_44585
1,1.763953348,h2tg000001l_91260
1,1.773321203,h2tg000001l_91482
1,4.863026892,h2tg000001l_159175
1,5.149380418,h2tg000001l_165913
1,5.154208047,h2tg000001l_167038
1,5.154291353,h2tg000001l_167128
1,5.33851697,h2tg000001l_178607
1,5.355139631,h2tg000001l_179646
1,5.448193107,h2tg000001l_185454
1,5.455120486,h2tg000001l_189860
1,5.455375491,h2tg000001l_190022
1,5.465604945,h2tg000001l_196532
1,5.466925371,h2tg000001l_197371
1,5.477415185,h2tg000001l_204047
1,5.47741625,h2tg000001l_204048
1,5.477423037,h2tg000001l_204054
1,5.477426685,h2tg000001l_204057
1,5.477435878,h2tg000001l_204064
1,5.477482113,h2tg000001l_204093
1,6.519366144,h2tg000001l_204196
1,6.527942052,h2tg000001l_204197
1,6.602684527,h2tg000001l_204205
1,6.80005189,h2tg000001l_204216
1,6.800310376,h2tg000001l_204235
1,6.800384924,h2tg000001l_204239
1,7.805798018,h2tg000001l_207995
1,11.15041473,h2tg000001l_213331
1,12.56969764,h2tg000001l_216638
1,27.33899969,h2tg000001l_233084
1,27.89106517,h2tg000001l_233963
1,44.83834843,h2tg000001l_289127
1,44.8455211,h2tg000001l_289162
1,44.87155994,h2tg000001l_289289
1,52.58695543,h2tg000001l_320452
1,52.5870421,h2tg000001l_320462
1,67.02141068,h2tg000001l_320971
1,67.71058343,h2tg000001l_321005
1,67.71067469,h2tg000001l_321013
1,72.61966072,h2tg000001l_334394
1,79.76879506,h2tg000001l_352809
1,80.43084781,h2tg000001l_354822
1,88.57685085,h2tg000001l_360999
1,88.59333936,h2tg000001l_361116
1,97.90762298,h2tg000001l_362097
1,97.9752671,h2tg000001l_362106
1,97.9977887,h2tg000001l_362109
1,98.04285833,h2tg000001l_362115
1,99.0280665,h2tg000001l_362243
1,99.09311799,h2tg000001l_362264
1,108.5062365,h2tg000001l_362343
1,115.3900257,h2tg000001l_374209
1,120.6568348,h2tg000001l_387297
1,128.5596651,h2tg000001l_387478
1,128.5596663,h2tg000001l_387483
1,128.610295,h2tg000001l_387491
1,130.0161046,h2tg000001l_387498
1,131.8425393,h2tg000001l_387507
1,131.8425482,h2tg000001l_387522
1,131.8425485,h2tg000001l_387531
1,136.3620246,h2tg000001l_387597
1,137.7529524,h2tg000001l_387619
1,138.4402355,h2tg000001l_387641
1,149.150631,h2tg000001l_400196
1,162.0632676,h2tg000001l_400496
1,162.0643483,h2tg000001l_400519
1,170.8281889,h2tg000001l_424964
1,170.8289884,h2tg000001l_424972
1,184.0621555,h2tg000001l_435183
1,184.0649627,h2tg000001l_435186
1,184.0883684,h2tg000001l_435211
1,184.0891071,h2tg000001l_435359
1,184.0891073,h2tg000001l_435365
1,190.7885532,h2tg000001l_438757
1,192.3224389,h2tg000001l_464002
1,192.3324924,h2tg000001l_464086
1,195.2278748,h2tg000001l_486509
1,195.2278749,h2tg000001l_486511
1,200.6575756,h2tg000001l_486657
1,206.855779,h2tg000001l_493093
1,206.8560767,h2tg000001l_493135
1,206.8562997,h2tg000001l_493163
1,213.2119644,h2tg000001l_496860
1,219.283116,h2tg000001l_497030
1,219.2831226,h2tg000001l_497042
1,228.3641141,h2tg000001l_497891
1,228.5311404,h2tg000001l_497910
1,228.5319737,h2tg000001l_497983
1,228.6400594,h2tg000001l_499278
1,228.640476,h2tg000001l_499283
1,228.6419758,h2tg000001l_499301
1,228.6422257,h2tg000001l_499304
1,228.6529755,h2tg000001l_499433
1,230.0382137,h2tg000001l_515698
1,243.2092028,h2tg000001l_535577
1,243.2092158,h2tg000001l_535589
1,243.2092347,h2tg000001l_535592
1,255.5748047,h2tg000001l_535715
1,255.5748048,h2tg000001l_535717
1,255.5748078,h2tg000001l_535750
1,257.1755437,h2tg000001l_539019
1,260.6774383,h2tg000001l_547685
1,260.6774384,h2tg000001l_547701
1,270.2187638,h2tg000001l_548096
1,270.7803437,h2tg000001l_548105
1,276.6379135,h2tg000001l_548129
1,276.6379143,h2tg000001l_548138
1,279.8964261,h2tg000001l_548861
1,297.7899181,h2tg000001l_549039
1,297.9848454,h2tg000001l_549042
1,298.1797727,h2tg000001l_549045
1,298.9717011,h2tg000001l_549057
1,299.0364565,h2tg000001l_549058
1,304.6311729,h2tg000001l_557005
1,306.6589727,h2tg000001l_564410
1,306.678977,h2tg000001l_564487
1,309.2200007,h2tg000001l_573643
1,309.2275323,h2tg000001l_573672
1,310.4849114,h2tg000001l_578357
1,310.490365,h2tg000001l_578378
1,310.4906247,h2tg000001l_578379
1,310.4947797,h2tg000001l_578395
1,310.4955587,h2tg000001l_578398
1,310.5056882,h2tg000001l_578437
1,310.5441263,h2tg000001l_578498
1,310.5485332,h2tg000001l_578505
1,310.5579778,h2tg000001l_578520
1,312.5590215,h2tg000001l_581533
1,313.2691622,h2tg000001l_611459
1,313.6621812,h2tg000001l_628146
1,314.4966975,h2tg000001l_663210
1,320.1043993,h2tg000001l_676928
1,320.1149836,h2tg000001l_676958
1,320.115689,h2tg000001l_676960
1,320.1170999,h2tg000001l_676964
1,320.1202746,h2tg000001l_676973
1,320.2384533,h2tg000001l_677307
1,320.2433919,h2tg000001l_677321
1,328.4181632,h2tg000001l_696048
1,346.5640005,h2tg000001l_705787
1,347.6379606,h2tg000001l_705944
1,361.3394889,h2tg000001l_709353
1,371.9577455,h2tg000001l_712805
1,373.8031091,h2tg000001l_712902
1,374.0729376,h2tg000001l_712948
1,374.072941,h2tg000001l_712949
1,375.3078774,h2tg000001l_712953
1,375.3078878,h2tg000001l_712971
1,375.3078879,h2tg000001l_712974
1,375.3078881,h2tg000001l_712977
1,383.5618748,h2tg000001l_728093
1,383.5618749,h2tg000001l_728104
1,393.2562277,h2tg000001l_730081
1,393.2701102,h2tg000001l_730124
1,393.2759203,h2tg000001l_730142
1,393.2795811,h2tg000001l_730207
1,393.3507292,h2tg000001l_730292
1,402.2022768,h2tg000001l_730449
1,402.6774097,h2tg000001l_730464
1,402.6774098,h2tg000001l_730473
1,402.6774099,h2tg000001l_730476
1,406.7318567,h2tg000001l_738369
1,406.769574,h2tg000001l_738450
1,410.0307789,h2tg000001l_740394
1,411.6778583,h2tg000001l_746748
1,415.7753394,h2tg000001l_757582
1,415.7753395,h2tg000001l_757600
1,417.1510383,h2tg000001l_759300
1,422.2348235,h2tg000001l_765047
1,422.2348236,h2tg000001l_765050
1,422.5176711,h2tg000001l_765076
1,422.5878831,h2tg000001l_765131
1,429.000222,h2tg000001l_772079
1,429.000223,h2tg000001l_772085
1,429.0002246,h2tg000001l_772096
1,435.2078485,h2tg000001l_789135
1,436.7466752,h2tg000001l_790058
1,436.7466753,h2tg000001l_790074
1,441.6613676,h2tg000001l_799684
1,442.4778849,h2tg000001l_799834
1,444.1385984,h2tg000001l_802728
1,446.5809375,h2tg000001l_808837
1,446.5813125,h2tg000001l_808838
1,446.6361389,h2tg000001l_808984
1,446.722958,h2tg000001l_809215
1,446.7229595,h2tg000001l_809224
1,451.9494051,h2tg000001l_814339
1,459.6870379,h2tg000001l_814724
1,459.687045,h2tg000001l_814727
1,459.6870477,h2tg000001l_814729
1,459.6918197,h2tg000001l_814779
1,459.6947289,h2tg000001l_814861
1,466.4191632,h2tg000001l_814995
1,466.5518769,h2tg000001l_815017
1,467.8015214,h2tg000001l_815030
1,485.8096148,h2tg000001l_815155
1,485.8147098,h2tg000001l_815176
1,491.9211646,h2tg000001l_815212
1,495.1225827,h2tg000001l_819021
1,495.1746738,h2tg000001l_819088
1,495.1808865,h2tg000001l_819096
1,495.1832161,h2tg000001l_819099
1,495.1870988,h2tg000001l_819104
1,510.5877623,h2tg000001l_832830
1,516.129218,h2tg000001l_837403
